교과목명,학점,,,,,,,,,,,,,,,,,,,,,,,,,,,
광고홍보의이해,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
광고홍보조사방법론Ⅰ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
광전자공학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
광전자소자,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교양한문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교유와 치유의 한시감상,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육과정,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육방법및교육공학,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육봉사활동1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육봉사활동2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육사회,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육사회학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육심리,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육철학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육철학및교육사,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육평가,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육학개론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육학교재연구및지도법,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육행정,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육행정및교육경영,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
교정학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교정학(재활과사회복귀),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교직논리및논술,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
교직실무,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
구조역학,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국문학개론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국어과평가의이론과실제,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국어교육론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국어국문학졸업논문(캡스톤디자인),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국어학의이해,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제개발과비교행정(캡스톤디자인),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제개발협력론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제경영입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제경제데이터분석,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제경제론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제경제법,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제금융론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제금융이론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제무역과마케팅,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제무역론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제무역세미나,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제법각론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제정치입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제통상세미나,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제통상의이해,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제홍보론,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
그래픽커뮤니케이션사이언스입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
그리스문학과신화이야기,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
극문학창작실기,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
극문학창작입문,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
극영화제작캡스톤디자인,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
극장경영,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
근대영국문학과문화,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
근대영국소설,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
근현대인도사상,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌거버넌스와국제기구(캡스톤디자인),3,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌리더십,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
